,movie_id,movie_title,explanation_type,explanation_text,persuasiveness,transparency,accuracy,satisfactory,persuasiveness_1,transparency_1,accuracy_1,satisfactory_1,persuasiveness_2,transparency_2,accuracy_2,satisfactory_2,persuasiveness_avergae,transparency_avergae,accuracy_avergae,satisfactory_avergae
0,527,辛德勒的名单 Schindler's List,attr_peer,这部电影的导演是史蒂文·斯皮尔伯格,2.0,2.0,2,2,4,5,4,4,3,4,4,3,3.5,4.5,4.0,3.5
1,527,辛德勒的名单 Schindler's List,attr_random,这部电影的演员有卡罗琳·古多尔,1.0,1.0,2,2,3,5,3,3,4,4,4,4,3.5,4.5,3.5,3.5
2,527,辛德勒的名单 Schindler's List,user,和你兴趣相似的用户中，看过这部电影的87.3%都喜欢,4.0,4.0,4,4,3,5,1,1,5,5,5,5,4.0,5.0,3.0,3.0
3,527,辛德勒的名单 Schindler's List,item,喜欢《哈利·波特与混血王子》的也喜欢,4.0,2.0,4,4,5,5,5,5,4,4,4,5,4.5,4.5,4.5,5.0
4,527,辛德勒的名单 Schindler's List,peer,豆瓣top25之一，一部震撼人心的佳作，记录二战黑暗岁月中的一抹亮色。,3.0,4.0,4,4,3,5,4,5,2,4,4,3,2.5,4.5,4.0,4.0
5,527,辛德勒的名单 Schindler's List,attr_personal,这是一部美国电影,3.0,3.0,3,3,1,3,1,1,2,4,3,2,1.5,3.5,2.0,1.5
6,527,辛德勒的名单 Schindler's List,attr_nonpersonal,这部电影的编剧是托马斯·肯尼利,2.0,2.0,2,2,3,5,3,3,3,4,4,3,3.0,4.5,3.5,3.0
7,527,辛德勒的名单 Schindler's List,pop,有669241用户看过这部电影(热门度前1%),4.0,4.0,4,4,5,5,2,2,4,5,2,2,4.5,5.0,2.0,2.0
8,318,肖申克的救赎 The Shawshank Redemption,attr_random,这部电影的导演是弗兰克·德拉邦特,2.0,2.0,2,2,3,5,3,2,3,4,4,3,3.0,4.5,3.5,2.5
9,318,肖申克的救赎 The Shawshank Redemption,peer,豆瓣评分最高的电影之一。让人重新思考生命的意义、学习的意义、知识的意义，甚至意义的意义……,2.0,2.0,4,3,4,5,4,5,5,5,5,5,4.5,5.0,4.5,5.0
